SN/IMEI/MPK,USERID
868619031625625 ,943380
868619031465824 ,943380
868619031463282 ,943380
868619031556002 ,943380
868619031276221 ,943380
868619031685207 ,943380
868619031672163 ,943380
868619031869405 ,943380
868619031468281 ,943380
868619031896986 ,943380
868619031962382 ,942796
868619031883604 ,942796
868619031987207 ,942796
868619031987280 ,942796
868619031403684 ,942796
868619031955162 ,942952
868619031891169 ,942952
868619032207688 ,943312
868619031910787 ,943312
868619031847963 ,943260
868619031899980 ,943260
868619031654286 ,943260
868619032090324 ,943260
868619031902925 ,943260
868619031944463 ,943260
868619031844309 ,943260
868619031924440 ,943260
868619031572405 ,943412
868619031546326 ,943412
868619031114224 ,943412
868619031522186 ,943412
868619031847021 ,943412
868619031690264 ,943412
868619031325507 ,943412
868619031482845 ,943412
868619031975640 ,943412
868619031461609 ,943412
868619031947607 ,942972
868619031882309 ,942972
868619032211847 ,942972
868619031908922 ,942972
868619031895160 ,942972
868619031864604 ,942972
868619031612888 ,942972
868619031859208 ,943036
868619032104828 ,943036
868619031958760 ,943036
868619031865601 ,943036
868619032110809 ,943036
868619031600222 ,943036
868619031911207 ,943036
868619031907627 ,943036
868619032105007 ,943036
868619032135780 ,942672
868619031916727 ,942672
868619031895525 ,942672
868619031948266 ,942672
868619031958646 ,943644
868619031520248 ,943644
868619031921529 ,943644
868619032115188 ,943644
868619031983669 ,943644
868619031512401 ,943644
868619032128488 ,943644
868619031952029 ,943644
868619030596769 ,943628
868619031849522 ,943628
868619031298621 ,943628
868619031864802 ,943628
868619031962689 ,943628
868619031905100 ,943628
868619031963547 ,943628
868619032136002 ,943628
868619031891540 ,943628
868619031925546 ,943628
868619031875527 ,943628
868619031897307 ,943628
868619031870205 ,943628
868240033308043 ,943628
868619031871666 ,943628
868619031828500 ,943628
868619031852567 ,943336
868619031959321 ,943336
868619031898123 ,943336
868619032138966 ,943336
868619031961087 ,943336
868619032118265 ,943336
868619032108084 ,943336
868619031625880 ,943336
868619032130088 ,943336
868619031911827 ,943336
868619031894627 ,943336
868619031862723 ,943336
868619031652603 ,943336
868619031893124 ,943336
868619032136143 ,943336
868619032053546 ,943336
868619031870700 ,943336
868619031879685 ,943336
868619031881822 ,943336
868619031475963 ,943336
868619031953449 ,942716
868619031477647 ,942716
868619031888983 ,942716
868619031864406 ,942716
868619032213041 ,942716
868619031654146 ,987555
868619031205063 ,987555
868619031847583 ,987555
868619031638362 ,987555
868619031615261 ,987555
868619031622788 ,987555
868619031626128 ,987555
868619032129940 ,987555
868619031947102 ,987555
868619032062521 ,987555
868619032092304 ,987555
868619031845504 ,987555
868619032103143 ,987555
868619031901406 ,987555
868619031489220 ,987555
868619031493925 ,987555
868619031506528 ,987555
868619031505603 ,987555
868619031215823 ,987555
868619031643628 ,987555
868619031194523 ,987555
868240035898520 ,987555
868619031706862 ,987555
868619031663022 ,987555
868619031664541 ,987555
868619031367681 ,987555
868619031481284 ,987555
868619031468182 ,987555
868619031670746 ,987555
868619031666827 ,987555
868619031678525 ,987555
868619031660069 ,987555
868619031677980 ,987555
868619031670886 ,987555
868619031694167 ,987555
868619031711383 ,987555
868619031475922 ,987555
868619031665464 ,987555
868619031478223 ,987555
868619031067547 ,987555
868619032120949 ,942636
868619032143800 ,942636
868619031855222 ,942636
868619031928086 ,942636
99001178080363 ,943704
99001178093800 ,943704
99001178082657 ,943704
99001178046246 ,943704
99001178107203 ,943704
99001178096910 ,943704
99001178107112 ,943704
99001178098058 ,943704
99001178094216 ,943704
99001178102934 ,943704
99001178096389 ,943704
99001178082667 ,943704
99001178095437 ,943704
99001178098807 ,943704
99001178106005 ,943704
99001178105986 ,943696
99001178110583 ,943696
99001178073934 ,943684
99001178104117 ,943684
99001178107462 ,943684
99001178076891 ,943684
99001178102694 ,943684
99001178094138 ,943684
99001178094934 ,943684
99001178095308 ,943684
99001178070020 ,943840
99001178046442 ,943840
99001178081980 ,943840
99001178062104 ,943840
99001178105712 ,943840
99001178081878 ,943840
99001178079719 ,943840
99001178082687 ,943840
99001178077560 ,943840
99001178105518 ,943840
99001178094258 ,943840
99001178096616 ,943840
99001178094773 ,943840
99001178096224 ,943840
99001178105758 ,943840
99001178107026 ,943752
99001178105113 ,943752
99001178106894 ,943752
99001178105551 ,943752
99001178104303 ,943752
99001178092668 ,943752
99001178092581 ,943752
99001178106183 ,943752
99001178092586 ,943752
99001178106079 ,943752
